Site_ID,ann_GPP_C,upper_GPP_C,ann_ER_C,lower_ER_C,PAR_sum,Stream_PAR_sum,gpp_C_mean,gpp_C_cv,gpp_C_skew,gpp_C_kurt,gpp_C_amp,gpp_C_phase,gpp_C_ar1,er_C_mean,er_C_cv,er_C_skew,er_C_kurt,er_C_amp,er_C_phase,er_C_ar1,Wtemp_mean,Wtemp_cv,Wtemp_skew,Wtemp_kurt,Wtemp_amp,Wtemp_phase,Wtemp_ar1,Disch_mean,Disch_cv,Disch_skew,Disch_kurt,Disch_amp,Disch_phase,Disch_ar1,PAR_mean,PAR_cv,PAR_skew,PAR_kurt,PAR_amp,PAR_phase,PAR_ar1,LAI_mean,LAI_cv,LAI_skew,LAI_kurt,LAI_amp,LAI_phase,LAI_ar1,MOD_ann_NPP
nwis_05579630,262.964135256698,1.94106434797555,-326.495689172018,-1.76468619612473,12.3865675262784,9.60472952731882,0.72,0.44,0.13,-0.03,1.09,80.6171132342772,0.621,-0.89,-0.27,-0.08,0.08,0.75,268.74815012989,0.737,16.4,0.21,-0.02,0.13,1.03,177.061320484345,0.734,0.08,0.43,0.19,0.24,0.5,63.6009322647097,0.541,33.84,0.28,0,-0.04,1.28,175.361501261493,0.125,0.76,0.41,0.25,-0.02,1.31,199.262185049648,0.826,432.8
nwis_05599490,66.0007548564182,0.454482056813518,-565.845505897389,-3.46022961809332,12.4467334080264,10.6281708034031,0.18,0.4,0.28,0.15,0.83,176.661447804909,0.39,-1.55,-0.41,-0.19,0.06,0.86,10.1123216292571,0.843,16.61,0.32,-0.05,-0.02,1.37,206.27399807248,0.879,76.18,0.5,0.35,0.19,0.39,93.6774259778882,0.92,34.01,0.26,0.02,0.01,1.17,181.829557671542,0.257,2.69,0.44,0.14,-0.16,1.36,191.025608573072,0.833,597.1
nwis_06893350,82.4143237005519,0.462533143873384,-135.384845123814,-0.772001809247836,12.9108640021704,9.47818699172283,0.23,0.37,0.15,0.09,0.89,156.199327941507,0.661,-0.37,-0.32,-0.14,0.15,0.65,5.01555961771446,0.29,15.58,0.33,-0.04,-0.01,1.35,190.078719787217,0.836,0.45,0.77,0.81,0.69,0.08,139.95906452121,0.432,35.28,0.25,0,-0.05,1.3,175.4854668239,0.235,0.92,0.28,-0.04,-0.1,1.36,177.082313059704,0.826,483.683333333333
nwis_06893620,78.128208358679,0.496798501034342,-139.37179984288,-0.732711587723081,12.4248998097,8.35700597588545,0.21,0.34,0.28,0.24,0.62,115.142991272063,0.74,-0.38,-0.29,-0.12,0.14,0.72,358.633024567181,0.41,13.75,0.34,-0.03,-0.05,1.33,196.835491368064,0.865,0.11,0.7,0.7,0.53,0.28,126.458487152602,0.476,33.99,0.26,0.02,-0.03,1.25,178.962982166814,0.254,0.83,0.35,0.06,-0.14,1.35,190.284919335307,0.954,519.125
nwis_06893820,76.5883646211229,0.556095391616979,-135.468641751935,-0.843159313031625,12.3618439764,11.9210923282436,0.21,0.42,0.31,0.19,0.53,139.886353796734,0.82,-0.37,-0.36,-0.22,0.12,0.9,365.036890052155,0.671,14.09,0.38,-0.02,-0.03,1.36,200.239357932035,0.886,2.45,0.72,0.69,0.49,0.36,143.73747963426,0.762,33.84,0.26,0,-0.02,1.24,180.504693499104,0.249,1.61,0.41,0.13,-0.1,1.36,190.632735142409,0.938,581.542857142857
nwis_06893890,63.9222387164381,0.554014201882891,-243.479910659,-1.95395625527989,12.4831734187608,9.83084244527049,0.17,0.48,0.32,0.12,0.87,129.38995012543,0.652,-0.67,-0.41,-0.32,0.2,0.8,22.3529532677253,0.739,14.8,0.38,0.01,-0.05,1.36,196.797064793699,0.901,0.74,0.7,0.57,0.36,0.53,126.684623158437,0.973,34.17,0.26,0,-0.03,1.26,180.602203492495,0.24,1.21,0.39,0.1,-0.1,1.36,185.857273450199,0.93,522.333333333333
nwis_06893970,54.8023187546732,0.726438911530746,-80.9943696513631,-0.567832315198709,12.0028257471528,6.43862634977057,0.15,0.63,0.54,0.29,0.88,107.647056090014,0.811,-0.22,-0.43,-0.27,0.14,0.78,323.51518874946,0.31,12.11,0.43,0.02,-0.08,1.37,202.986007465866,0.823,0.19,0.76,0.69,0.49,0.46,113.543079938239,0.347,32.88,0.26,0.03,-0.01,1.2,182.348969596125,0.181,1.53,0.37,0.1,-0.12,1.39,204.524201009625,0.822,626.2
nwis_06894000,33.709352697781,0.266928970173183,-74.8221849926568,-0.45087852184491,12.2000074298712,11.8861266682955,0.09,0.47,0.3,0.16,0.77,147.196838965912,0.544,-0.2,-0.38,-0.19,0.11,0.92,1.59311015399815,0.472,14.53,0.38,-0.02,-0.03,1.37,202.247433969855,0.884,5.92,0.63,0.58,0.38,0.38,141.626770635118,0.599,33.4,0.26,0.01,-0.01,1.23,180.308383302869,0.258,1.06,0.46,0.36,0.11,1.15,206.556703210427,0.974,571.742857142857
nwis_07048600,171.066938800964,1.24939838738456,-443.95321090206,-4.08952928172143,12.7295612565156,11.3545936500987,0.47,0.41,0.27,0.15,0.8,169.669520348254,0.736,-1.21,-0.51,-0.31,0.12,1.1,5.38180204883596,0.734,17.28,0.28,-0.01,0,1.36,206.559069935851,0.872,20.37,0.74,0.66,0.48,0.24,106.381816659828,0.495,34.83,0.24,-0.01,0,1.2,183.630674993031,0.335,2.22,0.32,0.05,-0.11,1.38,181.504990791508,0.898,659.8
nwis_07061270,62.5634753661209,0.400838500329951,-121.747833194688,-0.939354199439709,12.3330633831648,10.7040919712425,0.17,0.36,0.2,0.14,0.86,209.966724087547,0.597,-0.33,-0.44,-0.31,0.17,0.22,240.248748091579,0.793,14.41,0.3,0.02,0,1.35,203.932938532819,0.875,2.12,0.74,0.7,0.55,0.23,88.6720513906589,0.55,33.76,0.25,0,-0.01,1.2,181.497654679429,0.267,2.5,0.45,0.19,-0.12,1.32,193.805047505542,0.925,745.657142857143
