Site_ID,Name,Lat,Lon,ann_GPP,upper_GPP,ann_ER,lower_ER,ndays,nyears,coverage
IT-SR2,San Rossore 2,43.732,10.291,2318.655,12.22285,-1985.595,-10.46181,719,2,0.98
IT-SRo,San Rossore,43.7279,10.2844,2097.20928571429,11.205795,-1698.53142857143,-9.12283,5092,14,1
IT-Tor,Torgnon,45.8444,7.5781,1017.28271428571,9.4098265,-857.830285714286,-5.179152,1834,7,0.72
JP-MBF,Moshiri Birch Forest Site,44.3869,142.3186,1034.805,10.240075,-652.4735,-4.910415,632,2,0.86
JP-SMF,Seto Mixed Forest Site,35.2617,137.0788,1643.062,9.21968,-1635.016,-7.5761225,1771,5,0.97
NL-Hor,Horstermeer,52.2404,5.0713,1617.5675,10.80114,-1340.8975,-7.767316,2864,8,0.98
NL-Loo,Loobos,52.1666,5.7436,1623.00176470588,9.925045,-1235.82411764706,-6.488616,6415,18,0.98
NO-Adv,Adventdalen,78.186,15.923,358.151,4.34642,-290.608,-2.2562475,793,3,0.72
NO-Blv,Bayelva, Spitsbergen,78.9216,11.8311,40.6549,0.57980975,-38.553,-0.27817225,230,1,0.63
RU-Che,Cherski,68.613,161.3414,437.9545,4.8281775,-251.634,-2.52672,516,2,0.71
RU-Cok,Chokurdakh,70.8291,147.4943,385.4258,4.8880675,-232.07749,-2.41718,2740,10,0.75
RU-Fyo,Fyodorovskoye,56.4615,32.9221,1486.90705882353,11.951245,-1628.11588235294,-11.18194,5424,17,0.87
RU-Ha1,Hakasia steppe,54.7252,90.0022,605.425,5.3855375,-447.471,-3.8472975,946,3,0.86
SD-Dem,Demokeya,13.2829,30.4783,936.36775,7.1023685,-607.985,-3.43107,1448,4,0.99
SN-Dhr,Dahra,15.4028,-15.4322,1982.473,14.40289,-1434.564,-7.3765,1458,4,1
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,36.4267,-99.42,521.0865,5.7999435,-623.31625,-4.05123,1262,4,0.86
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,36.6358,-99.5975,319.49235,4.0279725,-354.812,-2.58839,1180,4,0.81
US-ARb,ARM Southern Great Plains burn site- Lamont,35.5497,-98.0402,1062.1755,12.839615,-1025.9235,-7.1972705,484,2,0.66
US-ARc,ARM Southern Great Plains control site- Lamont,35.5465,-98.04,1092.0385,10.54912,-1092.362,-7.217983,593,2,0.81
US-ARM,ARM Southern Great Plains site- Lamont,36.6058,-97.4888,682.531,8.2820375,-636.6091,-4.914708,2886,10,0.79
US-Blo,Blodgett Forest,38.8953,-120.6328,1514.87054545455,9.0830955,-755.841545454545,-5.736448,3984,11,0.99
US-Cop,Corral Pocket,38.09,-109.39,96.38808,1.2227395,-60.37768,-0.4573864,1490,5,0.82
US-GBT,GLEES Brooklyn Tower,41.3658,-106.2397,658.568,5.3172225,-160.568543333333,-2.999453,1008,3,0.92
US-GLE,GLEES,41.3665,-106.2399,643.826375,6.930098,-693.459125,-5.557574,2169,8,0.74
US-Ha1,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,1422.41768181818,13.55915,-1207.54690909091,-7.264885,6687,22,0.83
US-KS2,Kennedy Space Center (scrub oak),28.6086,-80.6715,1830.275,8.058014,-1538.0725,-6.62728,1457,4,1
US-Los,Lost Creek,46.0827,-89.9792,892.677181818182,9.0111275,-868.427818181818,-6.364309,3008,11,0.75
US-Me1,Metolius - Eyerly burn,44.5794,-121.5,791.3125,4.711995,-695.559,-4.06292,727,2,0.99
US-Me2,Metolius mature ponderosa pine,44.4523,-121.5574,1671.79076923077,10.0479,-1117.76576923077,-8.6911115,4581,13,0.96
US-Me6,Metolius Young Pine Burn,44.3233,-121.6078,959.4868,6.1481145,-712.007,-4.8332975,1808,5,0.99
US-MMS,Morgan Monroe State Forest,39.3232,-86.4131,1723.480625,14.42227,-1293.575625,-7.9413045,4402,16,0.75
